year,month,day,day_of_week,flight_number,dest,departure_time,closest_hour_crs_dep,op_unique_carrier
2025,3,27,5,AA1581,CVG,2025-03-27 08:18:00 CDT,8,AA
2025,3,27,5,AA1276,ATL,2025-03-27 08:16:00 CDT,8,AA
2025,3,27,5,DL1291,SLC,2025-03-27 08:15:00 CDT,8,DL
2025,3,27,5,AA2136,MCO,2025-03-27 08:15:00 CDT,8,AA
2025,3,27,5,AA4183,BNA,2025-03-27 08:14:00 CDT,8,AA
2025,3,27,5,AA2720,TUS,2025-03-27 08:13:00 CDT,8,AA
2025,3,27,5,AA4193,MEM,2025-03-27 08:12:00 CDT,8,AA
2025,3,27,5,AA3918,FWA,2025-03-27 08:12:00 CDT,8,AA
2025,3,27,5,AA3367,GSP,2025-03-27 08:12:00 CDT,8,AA
2025,3,27,5,AA3583,CRP,2025-03-27 08:10:00 CDT,8,AA
2025,3,27,5,AA2215,MSN,2025-03-27 08:10:00 CDT,8,AA
2025,3,27,5,AA2110,MCI,2025-03-27 08:10:00 CDT,8,AA
2025,3,27,5,AA2228,MSY,2025-03-27 08:09:00 CDT,8,AA
2025,3,27,5,AA5539,DAY,2025-03-27 08:09:00 CDT,8,AA
2025,3,27,5,AA5414,JAN,2025-03-27 08:08:00 CDT,8,AA
2025,3,27,5,AA3983,LRD,2025-03-27 08:08:00 CDT,8,AA
2025,3,27,5,AA3460,HRL,2025-03-27 08:08:00 CDT,8,AA
2025,3,27,5,AA3164,SNA,2025-03-27 08:08:00 CDT,8,AA
2025,3,27,5,AA2532,TUL,2025-03-27 08:08:00 CDT,8,AA
2025,3,27,5,AA2420,IAH,2025-03-27 08:08:00 CDT,8,AA
2025,3,27,5,AA1690,CLT,2025-03-27 08:08:00 CDT,8,AA
2025,3,27,5,AA1209,ABQ,2025-03-27 08:08:00 CDT,8,AA
2025,3,27,5,AA448,LAX,2025-03-27 08:08:00 CDT,8,AA
2025,3,27,5,AA313,LIR,2025-03-27 08:08:00 CDT,8,AA
2025,3,27,5,UA2639,IAD,2025-03-27 08:00:00 CDT,8,UA
2025,3,27,5,F91425,SAN,2025-03-27 07:59:00 CDT,8,F9
2025,3,27,5,AA2456,IND,2025-03-27 07:56:00 CDT,8,AA
2025,3,27,5,F93022,ATL,2025-03-27 07:45:00 CDT,8,F9
2025,3,27,5,AA1256,PHL,2025-03-27 07:45:00 CDT,8,AA
2025,3,27,5,NK372,FLL,2025-03-27 07:40:00 CDT,8,NK
2025,3,27,5,DL454,JFK,2025-03-27 07:40:00 CDT,8,DL
2025,3,27,5,AA2220,MSP,2025-03-27 07:36:00 CDT,8,AA
2025,3,27,5,AA1565,CMH,2025-03-27 07:29:00 CDT,7,AA
2025,3,27,5,AS365,SEA,2025-03-27 07:25:00 CDT,7,AS
2025,3,27,5,AA2093,SFO,2025-03-27 07:25:00 CDT,7,AA
2025,3,27,5,DL439,LAX,2025-03-27 07:20:00 CDT,7,DL
2025,3,27,5,AA1737,GUA,2025-03-27 19:50:00 CDT,20,AA
2025,3,27,5,AA3221,LIT,2025-03-27 19:50:00 CDT,20,AA
2025,3,27,5,AA3059,PHX,2025-03-27 19:50:00 CDT,20,AA
2025,3,27,5,AA2992,GSP,2025-03-27 19:50:00 CDT,20,AA
2025,3,27,5,AA2946,FLL,2025-03-27 19:50:00 CDT,20,AA
2025,3,27,5,AA2917,IND,2025-03-27 19:50:00 CDT,20,AA
2025,3,27,5,AA1243,SAN,2025-03-27 19:50:00 CDT,20,AA
2025,3,27,5,AA2597,BUR,2025-03-27 19:48:00 CDT,20,AA
2025,3,27,5,AA6191,GJT,2025-03-27 19:48:00 CDT,20,AA
2025,3,27,5,DL436,ATL,2025-03-27 19:45:00 CDT,20,DL
2025,3,27,5,AA1555,BNA,2025-03-27 19:45:00 CDT,20,AA
2025,3,27,5,AA2642,MIA,2025-03-27 19:45:00 CDT,20,AA
2025,3,27,5,AA546,SAT,2025-03-27 19:45:00 CDT,20,AA
2025,3,27,5,AA6188,PVU,2025-03-27 19:40:00 CDT,20,AA
2025,3,27,5,AA2267,MCI,2025-03-27 19:40:00 CDT,20,AA
